Celltype	Marker
Astrocyte	CD40
Astrocyte	CD80
Astrocyte	CD86
Astrocyte	CD88
Astrocyte	GFAP
Astrocyte	S100B
Basophil	ANPEP
Basophil	CD44
Basophil	ICAM1
Basophil	CD63
Basophil	CD69
Basophil	LAMP1
Basophil	IL3RA
Basophil	CCR3
Basophil	ENPP3
Basophil	FCER1A
Basophil	IGHE
Basophil	TLR4
Basophil	ENO1
B Cell	CD2
B Cell	CD5
B Cell	CD19
B Cell	MS4A1
B Cell	CR2
B Cell	CR1
B Cell	CD22
B Cell	FCER2
B Cell	CD40
B Cell	PTPRC
B Cell	CD69
B Cell	CD70
B Cell	CD79A
B Cell	CD79B
B Cell	CD80
B Cell	CD86
B Cell	CD93
B Cell	TNFRSF9
B Cell	SDC1
B Cell	TNFSF4
B Cell	TNFRSF13B
B Cell	TNFRSF13C
B Cell	PDCD1
B Cell	IGHD
B Cell	IGHM
B Cell	PAX5
Embryonic Stem Cell	CD9
Embryonic Stem Cell	FUT4
Embryonic Stem Cell	CD24
Embryonic Stem Cell	ITGB1
Embryonic Stem Cell	ITGA6
Embryonic Stem Cell	CDH1
Embryonic Stem Cell	ABCG2
Embryonic Stem Cell	PODXL
Embryonic Stem Cell	ALPL
Embryonic Stem Cell	MYC
Embryonic Stem Cell	FOXD3
Embryonic Stem Cell	POU5F1
Embryonic Stem Cell	SOX2
Embryonic Stem Cell	STAT3
Endothelial Cell	PECAM1
Endothelial Cell	CD34
Endothelial Cell	ICAM1
Endothelial Cell	ITGB3
Endothelial Cell	SELE
Endothelial Cell	ENG
Endothelial Cell	VCAM1
Endothelial Cell	CDH5
Endothelial Cell	MCAM
Endothelial Cell	PROCR
Endothelial Cell	TEK
Endothelial Cell	KDR
Endothelial Cell	PDPN
Endothelial Cell	FLT4
Eosinophil	C3AR1
Eosinophil	FUT4
Eosinophil	FCER2
Eosinophil	ITGA4
Eosinophil	CD52
Eosinophil	CD53
Eosinophil	CD88
Eosinophil	IL9R
Eosinophil	CXCR3
Eosinophil	CCR1
Eosinophil	CCR3
Eosinophil	CD244
Eosinophil	PTGDR2
Eosinophil	LAIR1
Eosinophil	FCER1A
Eosinophil	LGALS9
Eosinophil	S100A9
Eosinophil	SIGLEC8
Eosinophil	SIGLEC10
Epithelial Cell	CD24
Epithelial Cell	CD44
Epithelial Cell	ITGA6
Epithelial Cell	CEACAM1
Epithelial Cell	ST6GAL1
Epithelial Cell	ITGB4
Epithelial Cell	IL1R1
Epithelial Cell	IL1R2
Epithelial Cell	PROM1
Epithelial Cell	DDR1
Epithelial Cell	EPCAM
Epithelial Cell	KRT19
Erythrocyte	CD24
Erythrocyte	PTPRC
Erythrocyte	GYPA
Fibroblast	MME
Fibroblast	ITGB1
Fibroblast	CD47
Fibroblast	CD81
Fibroblast	LRP1
Fibroblast	IL1R1
Hematopoietic Stem Cell	CD34
Hematopoietic Stem Cell	THY1
Hematopoietic Stem Cell	CD93
Hematopoietic Stem Cell	ENG
Hematopoietic Stem Cell	MPL
Hematopoietic Stem Cell	NECTIN1
Hematopoietic Stem Cell	KIT
Hematopoietic Stem Cell	PROM1
Hematopoietic Stem Cell	FLT3
Hematopoietic Stem Cell	SLAMF1
Hematopoietic Stem Cell	CXCR4
Hematopoietic Stem Cell	TEK
Hematopoietic Stem Cell	ABCB1
Hematopoietic Stem Cell	NGFR
Hematopoietic Stem Cell	KDR
Hematopoietic Stem Cell	ABCG2
Hematopoietic Stem Cell	ATXN1
Macrophage	ITGAL
Macrophage	ITGAM
Macrophage	ITGAX
Macrophage	CD14
Macrophage	FUT4
Macrophage	FCGR3A
Macrophage	FCGR2A
Macrophage	CD33
Macrophage	FCGR1A
Macrophage	CD68
Macrophage	CD80
Macrophage	LILRB4
Macrophage	CD86
Macrophage	ENG
Macrophage	LAMP2
Macrophage	CSF1R
Macrophage	CD163
Macrophage	CCR5
Macrophage	TLR2
Macrophage	TLR4
Macrophage	ADGRE1
Macrophage	TNFSF18
Macrophage	HLA-DRA
Macrophage	HLA-DRB1
Macrophage	HLA-DRB3
Macrophage	HLA-DRB4
Macrophage	HLA-DRB5
Macrophage	LGALS3
Macrophage	HLA-DMA
Macrophage	HLA-DMB
Macrophage	HLA-DOA
Macrophage	HLA-DOB
Macrophage	HLA-DPA1
Macrophage	HLA-DPB1
Macrophage	HLA-DQA1
Macrophage	HLA-DQA2
Macrophage	HLA-DQB1
Macrophage	HLA-DQB2
Mast Cell	KIT
Mast Cell	ENPP3
Mast Cell	FCER1A
MDSC	ITGAM
MDSC	FUT4
MDSC	CD33
MDSC	CEACAM8
MDSC	IL4R
MDSC	FLT1
Megakarocyte	CD9
Megakarocyte	PECAM1
Megakarocyte	ITGA2B
Megakarocyte	GP1BA
Megakarocyte	ITGAV
Megakarocyte	ITGB3
Megakarocyte	SELP
Mesenchymal Stem Cell	ITGB1
Mesenchymal Stem Cell	CD44
Mesenchymal Stem Cell	ICAM1
Mesenchymal Stem Cell	NT5E
Mesenchymal Stem Cell	THY1
Mesenchymal Stem Cell	ENG
Mesenchymal Stem Cell	VCAM1
Mesenchymal Stem Cell	ALCAM
Mesenchymal Stem Cell	FZD9
Mesenchymal Stem Cell	ALPL
Microglia	ITGAM
Microglia	PTPRC
Microglia	CD68
Microglia	CD88
Microglia	CX3CR1
Microglia	P2RY12
Microglia	P2RX7
Monocyte	CCR2
Monocyte	ITGAM
Monocyte	ITGAX
Monocyte	CD14
Monocyte	FCGR3A
Monocyte	SPN
Monocyte	CD86
Monocyte	CSF1R
Monocyte	SIRPA
Monocyte	CD209
Monocyte	CX3CR1
Monocyte	ADGRE1
Monocyte	HLA-DRA
Monocyte	HLA-DRB1
Monocyte	HLA-DRB3
Monocyte	HLA-DRB4
Monocyte	HLA-DRB5
Monocyte	HLA-DMA
Monocyte	HLA-DMB
Monocyte	HLA-DOA
Monocyte	HLA-DOB
Monocyte	HLA-DPA1
Monocyte	HLA-DPB1
Monocyte	HLA-DQA1
Monocyte	HLA-DQA2
Monocyte	HLA-DQB1
Monocyte	HLA-DQB2
Myeloid Dendritic Cell	CD1A
Myeloid Dendritic Cell	CD1B
Myeloid Dendritic Cell	CD1C
Myeloid Dendritic Cell	CD4
Myeloid Dendritic Cell	ITGAM
Myeloid Dendritic Cell	ITGAX
Myeloid Dendritic Cell	CD40
Myeloid Dendritic Cell	ITGA4
Myeloid Dendritic Cell	CD80
Myeloid Dendritic Cell	CD83
Myeloid Dendritic Cell	CD86
Myeloid Dendritic Cell	CCR7
Myeloid Dendritic Cell	LY75
Myeloid Dendritic Cell	CD207
